ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;27;1;2;465
2009;33;2;17;-42750
2009;24;1;8;620
2009;15;1;24;110
2009;31;1;14;5077
2009;27;1;18;187
2009;31;2;10;-25975
2009;24;2;13;-10844
2009;35;2;12;-44831
2009;52;2;18;-1453
2009;17;1;9;359
2009;52;2;12;-931
2009;13;2;22;-2009
2009;35;2;18;-26404
2009;16;1;21;3662
2009;22;2;22;-1511
2009;27;1;12;43
2009;51;1;3;2496
2009;13;2;1;-143
2009;25;2;23;-3098
2009;12;2;15;-5448
2009;17;2;17;-2740
2009;22;2;1;-308
2009;41;2;24;-3470
2009;43;2;20;-39508
2009;28;1;19;7255
2009;31;2;17;-53866
2009;14;2;18;-38
2009;50;1;3;2282
2009;21;2;3;-2522
2009;33;1;3;15210
2009;11;1;16;31064
2009;17;2;10;-383
2009;25;1;20;2356
2009;22;1;25;4206
2009;42;2;21;-114697
2009;32;2;13;-13578
2009;13;1;25;1483
2009;17;1;14;831
2009;43;1;23;20522
2009;22;2;4;-147
2009;23;1;24;1291
2009;31;1;9;10292
2009;13;2;4;-5590
2009;17;1;3;259
2009;27;1;11;377
2009;11;2;25;-5826
2009;12;2;21;-1867
2009;28;2;6;-219
2009;51;1;9;1875
2009;52;2;11;-13348
2009;11;1;4;354
2009;35;2;11;-119561
2009;32;1;8;1905
2009;52;1;7;4175
2009;14;2;2;-150
2009;32;2;5;-406
2009;27;2;7;-242
2009;50;2;10;-1307
2009;21;1;10;2936
2009;33;1;14;6857
2009;13;2;16;-26395
2009;16;1;15;2436
2009;26;1;20;12502
2009;35;1;7;34211
2009;53;1;24;835
2009;21;2;14;-1208
2009;33;2;10;-15238
2009;22;2;16;-14774
2009;50;1;14;417
2009;51;2;17;-11725
2009;32;2;11;-8841
2009;42;2;17;-31832
2009;53;2;1;-183
2009;35;1;8;45558
2009;52;1;8;3474
2009;41;1;16;267359
2009;24;2;2;-2883
2009;27;2;8;-152
2009;52;2;5;-509
2009;15;2;16;-54001
2009;43;1;6;11237
2009;29;2;25;-87888
2009;31;2;21;-199592
2009;27;1;5;7
2009;32;1;7;4501
2009;50;2;15;-25482
2009;16;2;14;-316
2009;42;1;9;9652
2009;21;1;15;31821
2009;29;1;4;7714
2009;33;2;15;-155983
2009;16;1;10;25
2009;35;2;5;-43293
2009;53;2;22;-9376
2009;23;2;1;-851
2009;41;2;25;-67013
2009;12;1;9;102
2009;16;2;3;-32
2009;28;2;23;-3093
2009;51;2;21;-27241
2009;41;1;4;19658
2009;52;2;13;-64306
2009;12;2;17;-796
2009;17;2;15;-11802
2009;24;2;18;-369
2009;27;1;13;52891
2009;43;2;19;-96916
2009;15;2;4;-564
2009;23;2;22;-5204
2009;15;1;25;29828
2009;24;2;12;-410
2009;35;2;13;-262590
2009;29;1;16;115337
2009;32;2;18;-1127
2009;41;1;1;1746
2009;15;2;22;-4645
2009;31;2;15;-302664
2009;23;1;25;15383
2009;50;2;21;-20445
2009;13;1;24;442
2009;21;1;21;13637
2009;33;2;21;-225186
2009;32;2;12;-450
2009;53;2;16;-61347
2009;23;2;4;-1335
2009;28;1;20;2544
2009;22;1;24;106
2009;12;2;10;-27
2009;42;1;3;20256
2009;12;1;14;282
2009;26;2;6;-1016
2009;15;2;1;-1278
2009;41;1;22;29790
2009;14;2;13;-511
2009;25;1;19;6932
2009;53;1;25;3444
2009;17;2;21;-3970
2009;42;2;10;-19237
2009;12;1;3;59
2009;24;1;7;641
2009;16;2;9;-43
2009;42;1;14;5709
2009;14;1;8;59
2009;53;2;4;-222
2009;23;2;16;-58832
2009;29;1;22;17047
2009;24;2;11;-7218
2009;26;1;19;68155
2009;29;1;1;2766
2009;25;2;6;-8
2009;51;2;15;-38491
2009;11;2;24;-1099
2009;16;1;17;1204
2009;32;2;2;-8170
2009;42;1;1;1915
2009;28;1;2;1384
2009;51;2;24;-280
2009;11;2;15;-18923
2009;53;1;17;9519
2009;15;2;3;-3880
2009;25;2;8;-951
2009;16;2;4;-71
2009;29;1;14;3357
2009;41;1;3;22154
2009;29;2;10;-6288
2009;25;1;5;71
2009;16;1;25;376
2009;42;1;22;15654
2009;26;1;13;61315
2009;53;2;9;-717
2009;23;1;17;12895
2009;26;2;8;-2525
2009;41;2;10;-21107
2009;24;1;23;5489
2009;41;1;14;4839
2009;29;1;3;4079
2009;12;1;22;403
2009;28;1;12;1685
2009;32;2;20;-15523
2009;12;1;1;15
2009;13;1;15;18699
2009;16;2;16;-6722
2009;22;1;15;23405
2009;14;2;19;-510
2009;25;1;13;11174
2009;15;1;10;1112
2009;23;2;9;-2742
2009;26;1;5;811
2009;31;2;24;-9064
2009;28;1;18;269
2009;15;2;14;-1776
2009;15;2;9;-913
2009;24;2;20;-3097
2009;41;2;17;-42582
2009;23;1;10;4550
2009;23;2;14;-1525
2009;17;2;24;-13
2009;42;1;16;180431
2009;32;1;23;7540
2009;53;2;3;-941
2009;12;2;25;-1557
2009;35;2;19;-864487
2009;11;2;21;-8860
2009;52;2;19;-38830
2009;41;1;9;10449
2009;15;1;17;11237
2009;27;1;19;4946
2009;43;2;13;-70931
2009;12;1;4;19
2009;50;2;24;-480
2009;21;1;24;343
2009;13;1;21;20107
2009;53;2;14;-970
2009;53;1;10;794
2009;33;2;24;-7247
2009;43;1;8;11014
2009;16;2;22;-452
2009;22;1;21;8047
2009;42;2;25;-50125
2009;28;2;7;-500
2009;29;1;9;3133
2009;42;1;4;16436
2009;23;2;3;-4505
2009;35;1;6;43319
2009;29;2;17;-18966
2009;27;2;6;-45
2009;12;1;16;6505
2009;28;1;11;1644
2009;43;2;5;-6509
2009;16;2;1;-700
2009;52;1;6;1421
2009;21;2;13;-5452
2009;42;1;12;5750
2009;12;1;2;346
2009;50;1;13;30933
2009;33;1;13;40124
2009;17;1;5;32
2009;29;1;20;21535
2009;42;1;18;2762
2009;17;2;8;-170
2009;14;1;21;1504
2009;53;1;23;11242
2009;32;2;3;-11286
2009;21;2;5;-67
2009;50;1;5;243
2009;24;2;9;-195
2009;15;2;20;-9296
2009;16;1;7;151
2009;35;1;15;473238
2009;33;1;5;1256
2009;28;1;22;3651
2009;32;2;14;-2102
2009;17;1;13;4877
2009;52;1;15;77006
2009;27;2;15;-11524
2009;32;1;10;2142
2009;16;2;11;-52
2009;42;1;2;14406
2009;28;1;1;338
2009;21;1;8;496
2009;50;2;8;-1222
2009;23;1;23;9986
2009;33;2;8;-8323
2009;43;1;24;3752
2009;12;1;18;69
2009;24;1;17;5734
2009;41;1;20;51188
2009;13;2;19;-32411
2009;14;1;15;3141
2009;22;2;19;-3909
2009;51;1;5;339
2009;15;1;23;4735
2009;32;1;17;13936
2009;16;2;2;-153
2009;42;1;11;88268
2009;11;2;6;-141
2009;25;2;24;-104
2009;28;2;25;-7880
2009;32;2;9;-1250
2009;42;2;7;-30856
2009;24;2;14;-1898
2009;24;1;10;884
2009;41;2;23;-25136
2009;23;2;20;-9565
2009;28;1;4;575
2009;31;1;13;95622
2009;51;2;8;-1069
2009;22;1;6;369
2009;13;1;6;2911
2009;31;2;8;-10980
2009;51;1;13;33573
2009;29;2;23;-11340
2009;12;2;7;-915
2009;24;2;3;-990
2009;16;2;18;-40
2009;11;1;19;5226
2009;35;1;21;678107
2009;26;2;24;-830
2009;53;2;20;-10722
2009;28;1;16;15389
2009;52;1;21;61987
2009;12;1;11;57
2009;27;2;21;-9900
2009;31;1;5;10181
2009;15;1;7;10638
2009;16;2;20;-980
2009;26;2;15;-56617
2009;32;2;16;-73749
2009;53;2;12;-48
2009;13;2;5;-12302
